state,district,year,murder,rape,kidnapping,robbery,theft,riots,dowry_deaths,total_crimes,lat,lng,risk
Andhra Pradesh,Anantapur,2014,134,35,125,30,753,214,25,8376,14.6783221,77.6065039,1
Andhra Pradesh,Chittoor,2014,84,32,38,22,528,134,17,5374,13.325036,79.6480611,1
Andhra Pradesh,Cuddapah,2014,80,28,27,16,638,104,16,5803,14.4956602,78.8349278,1
Andhra Pradesh,East Godavari,2014,64,85,66,24,903,27,7,7630,16.9956639,81.7154378,1
Andhra Pradesh,Guntakal Railway,2014,14,0,0,4,413,1,0,490,15.172825,77.3664764,0
Andhra Pradesh,Guntur,2014,105,49,64,24,711,78,16,6897,16.2915189,80.4541588,1
Andhra Pradesh,Guntur Urban,2014,51,40,84,31,1045,8,12,5798,17.7041832,83.2974867,1
Andhra Pradesh,Krishna,2014,51,80,41,15,521,9,8,7078,16.2135466,81.0277844,1
Andhra Pradesh,Kurnool,2014,118,32,53,28,563,108,12,8398,15.8309251,78.0425373,1
Andhra Pradesh,Nellore,2014,78,58,153,44,1058,84,14,8175,14.4493717,79.9873763,1
Andhra Pradesh,Prakasham,2014,75,50,50,23,617,124,8,6367,16.5014312,80.6031619,1
Andhra Pradesh,Rajahmundry,2014,18,35,15,14,361,16,3,2430,17.0050454,81.7804732,0
Andhra Pradesh,Srikakulam,2014,30,40,33,8,236,17,3,4727,18.2949307,83.8938844,1
Andhra Pradesh,Tirupathi Urban,2014,35,18,24,8,1148,31,13,3651,13.6298381,79.4251464,0
Andhra Pradesh,Vijayawada City,2014,23,64,42,48,2016,2,10,7876,16.5115306,80.6160469,1
Andhra Pradesh,Vijayawada Railway,2014,1,0,3,7,1085,0,2,1223,16.5204153,80.6196802,0
Andhra Pradesh,Visakha Rural,2014,43,38,24,5,179,14,4,3028,17.8147685,83.3649326,0
Andhra Pradesh,Visakhapatnam,2014,38,84,130,46,1358,3,13,7728,17.6935526,83.2921297,1
Andhra Pradesh,Vizianagaram,2014,43,47,27,4,388,13,8,5013,18.1141255,83.4114389,1
Andhra Pradesh,West Godavari,2014,90,146,67,32,1096,26,24,8542,16.6443029,81.5885247,1
Andhra Pradesh,Total,2014,1175,961,1066,433,15617,1013,215,114604,16.5082164,80.6756877,1
Arunachal Pradesh,Anjaw,2014,0,0,1,0,2,1,0,29,28.1166895,96.8198805,0
Arunachal Pradesh,Changlang,2014,9,6,11,5,50,1,0,180,27.2698797,96.0602442,0
Arunachal Pradesh,Dibang Valley,2014,0,1,0,0,0,0,0,4,28.8291044,95.9554096,0
Arunachal Pradesh,Kameng East,2014,4,1,7,4,18,0,0,148,27.557781,93.0753012,0
Arunachal Pradesh,Kameng West,2014,7,0,3,3,21,8,0,140,27.2625165,92.4228984,0
Arunachal Pradesh,Lohit,2014,10,7,25,8,39,3,0,280,28.0350162,96.1713515,0
Arunachal Pradesh,Longding,2014,4,3,9,1,5,0,0,92,26.8794546,95.3155652,0
Arunachal Pradesh,Lower Dibang Valley,2014,2,3,4,1,21,0,0,75,28.2149563,95.878774,0
Arunachal Pradesh,Siang East,2014,5,11,4,3,49,0,0,245,28.0580363,95.3322182,0
Arunachal Pradesh,Siang Upper,2014,1,1,0,0,8,0,0,40,29.1137638,95.3982784,0
Arunachal Pradesh,Siang West,2014,10,6,2,4,29,4,0,249,28.1702349,94.7979711,0
Arunachal Pradesh,Subansiri Lower,2014,4,1,7,10,18,3,0,160,27.5385824,93.815392,0
Arunachal Pradesh,Subansiri Upper,2014,3,5,2,5,33,4,0,234,28.2596054,94.0938106,0
Arunachal Pradesh,Tawang,2014,1,0,0,0,14,0,0,40,27.5879186,91.863733,0
Arunachal Pradesh,Tirap,2014,2,3,10,3,12,0,0,117,27.030169,95.4979175,0
Assam,Barpeta,2014,46,143,379,5,448,306,21,9056,26.345941,91.039708,1
Assam,Baska,2014,31,26,41,16,124,0,4,853,26.6758202,91.3388225,0
Assam,Bongaigaon,2014,17,31,51,12,190,15,4,1789,26.4800126,90.5580387,0
Assam,Cachar,2014,58,81,249,24,756,202,14,5640,24.75864,92.8816648,1
Assam,Chirang,2014,37,29,58,6,95,19,7,863,26.6464231,90.624157,0
Assam,Darrang,2014,33,111,208,17,363,82,11,3901,26.4373482,92.0047145,0
Assam,Dhemaji,2014,18,45,84,15,106,0,3,1068,27.5945155,94.7192098,0
Assam,Dhubri,2014,58,193,420,21,432,531,10,7153,26.132275,90.1249962,1
Assam,Dibrugarh,2014,77,67,163,43,826,12,5,3108,27.4844597,94.9019447,0
Assam,Goalpara,2014,44,108,218,23,266,52,8,2623,26.0491877,90.6001859,0
Assam,Golaghat,2014,88,74,238,41,365,29,7,2932,26.5108262,93.9743686,0
Assam,Guwahati City,2014,84,100,455,247,3095,155,11,12216,26.1805978,91.753943,1
Assam,Hailakandi,2014,24,77,104,3,178,287,4,1940,24.6846916,92.5645836,0
Assam,Jorhat,2014,30,36,94,76,518,7,6,3732,26.7577925,94.2079645,0
Assam,Kamrup,2014,65,77,164,63,727,0,1,2785,26.1468861,91.2227397,0
Assam,Karbi Anglong,2014,38,23,78,10,181,6,0,960,26.0712781,93.4552969,0
Assam,Karimganj,2014,33,75,119,8,199,57,13,2827,24.5828196,92.3725487,0
